Link_Image,CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,CMTE_ST1,CMTE_ST2,CMTE_CITY,CMTE_ST,CMTE_ZIP,TRES_NM,CAND_ID,FEC_ELECTION_YR,INDV_CONTB,PTY_CMTE_CONTB,OTH_CMTE_CONTB,TTL_CONTB
https://www.fec.gov/data/committee/C00656835/?cycle=2022,C00656835,CIRRUS DESIGN CORPORATION PAC AKA CIRRUS AIRCRAFT PAC,N,U,T,4515 TAYLOR CIRCLE,,DULUTH,MN,55311,"BENNETT, BRIAN",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00489898/?cycle=2022,C00489898,TURKISH COALITION CALIFORNIA PAC (TC-CAL PAC),Q,U,Q,"525 E. SEASIDE WAY, #101-C",,LONG BEACH,CA,90802,"CRUMMITT, GARY",,2022,50,0,0,50
https://www.fec.gov/data/committee/C00610048/?cycle=2022,C00610048,HEARD4CONGRESS,H,P,Q,18 PLEASANT GROVE RD,,LONG VALLEY,NJ,7853,MR CRAIG F HEARD,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00618413/?cycle=2022,C00618413,OHIO WOMEN'S CAUCUS,N,U,Q,36501 COUNTY RD 2 E,,WOODSFIELD,OH,43793,"BLOCK, ANN LOUISE MRS",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00220053/?cycle=2022,C00220053,"RICELAND FOODS, INC. PAC",Q,U,Q,P.O. BOX 927,,STUTTGART,AR,72160,"MCGILTON, KEVIN E.",,2022,13015,0,0,13015
https://www.fec.gov/data/committee/C00233247/?cycle=2022,C00233247,MANAGEMENT ASSOCIATION FOR PRIVATE PHOTOGRAMMETRIC SURVEYORS PAC (MAPPS PAC),Q,U,Q,2331 ROCK SPRING RD,,FOREST HILL,MD,21050,"RABER, BRIAN R",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00202085/?cycle=2022,C00202085,"JAFFE, RAITT, HEUER & WEISS POLITICAL COMMITTEE",Q,U,Q,27777 FRANKLIN ROAD,SUITE 2500,SOUTHFIELD,MI,48034,"LICHTERMAN, SUSAN",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00248690/?cycle=2022,C00248690,ALARM INDUSTRY COMMUNICATIONS COMMITTEE POLITICAL ACTION COMMITTEE,Q,U,Q,7918 JONES BRANCH DRIVE,SUITE 510,MCLEAN,VA,22102,"BONIFAS, ROBERT MR.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00655761/?cycle=2022,C00655761,KEYSTONE STRONG,O,U,T,13520 MCLEAREN RD,NO 711024,HERNDON,VA,20171,"WOJCIECHOWSKI, MARIA",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00679589/?cycle=2022,C00679589,ASIAN AMERICANS AGAINST TRUMPISM,O,U,T,660 KING STREET,#301,SAN FRANCISCO,CA,94107,"PAN, VINCENT",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00681825/?cycle=2022,C00681825,LAW ENFORCEMENT FOR A SAFER AMERICA PAC,O,U,Q,"232 15TH STREET,NW",SUITE 140,WASHINGTON,DC,20005,"KEVITT, JEREMY",,2022,587197.82,0,0,587197.82
https://www.fec.gov/data/committee/C00691378/?cycle=2022,C00691378,ALLERGY ASSOCIATES PA POLITICAL ACTION COMMITTEE,N,U,Q,6701 BAUM DRIVE,STE. 140,KNOXVILLE,TN,37919,"DELOZIER, NED",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00039016/?cycle=2022,C00039016,CLEVELAND-CLIFFS  INC. POLITICAL ACTION COMMITTEE (CLIFFSPAC),Q,B,T,200 PUBLIC SQUARE,SUITE 3300,"CLEVELAND,",OH,441142315,"BLOOM, PATRICK",,2022,185,0,0,185
https://www.fec.gov/data/committee/C00160630/?cycle=2022,C00160630,"DRUMMOND COMPANY, INC. POLITICAL ACTION COMMITTEE (DPAC)",Q,U,Q,P.O. BOX 10246,,BIRMINGHAM,AL,352020246,"STANFIELD, SCOTT O. MR.",,2022,157,0,0,157
https://www.fec.gov/data/committee/C00410068/?cycle=2022,C00410068,FRATERNITY & SORORITY POLITICAL ACTION COMMITTEE,W,B,M,PO BOX 40383,,WASHINGTON,DC,20016,"MAXWELL, THOMAS F. III",,2022,198690.71,0,5000,203690.71
https://www.fec.gov/data/committee/C00410308/?cycle=2022,C00410308,SHORE PAC,Q,D,M,P.O. BOX 3157,,LONG BRANCH,NJ,7740,"GOODE, WARREN B",,2022,91000,0,20000,111000
https://www.fec.gov/data/committee/C00415208/?cycle=2022,C00415208,LONE STAR LEADERSHIP PAC,Q,D,M,PO BOX 30844,,BETHESDA,MD,208240844,"MARTIN, STEVEN",,2022,50,0,2500,2550
https://www.fec.gov/data/committee/C00415372/?cycle=2022,C00415372,NATIONAL ASSOCIATION OF ENROLLED AGENTS POLITICAL ACTION COMMITTEE,Q,B,M,"1730 RHODE ISLAND AVENUE, NW",SUITE 400,WASHINGTON,DC,200363118,"MASON, DAVID",,2022,9250,0,0,9250
https://www.fec.gov/data/committee/C00453357/?cycle=2022,C00453357,HOLSTON MEDICAL GROUP P C PAC HMGPAC,N,U,T,2323 N JOHN B DENNIS HIGHWAY,,KINGSPORT,TN,37660,SCOTT R FOWLER,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00528554/?cycle=2022,C00528554,RJC VICTORY FUND,O,U,Q,228 S WASHINGTON ST,SUITE 115,ALEXANDRIA,VA,22314,"SATTERFIELD, DAVID",,2022,10341,0,0,10341
https://www.fec.gov/data/committee/C00423012/?cycle=2022,C00423012,LIBERTARIAN PARTY OF NEVADA,X,U,M,PO BOX 70974,,LAS VEGAS,NV,89170,"ELLIOTT, BRYAN",,2022,9652.76,0,0,9652.76
https://www.fec.gov/data/committee/C00423228/?cycle=2022,C00423228,AMERICAN GASTROENTEROLOGICAL ASSOCIATION INC. PAC,Q,B,M,4926 DEL RAY AVENUE,,BETHESDA,MD,20814,"GIARDIELLO, FRANCIS M. MD",,2022,16959.01,0,0,16959.01
https://www.fec.gov/data/committee/C00417139/?cycle=2022,C00417139,KB HOME AMERICAN DREAM PAC,Q,B,M,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,"DAVIDSON, CARY",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00420695/?cycle=2022,C00420695,JPAC,Q,U,M,187 HARBOUR WATCH WAY,,MOUNT PLEASANT,SC,294642857,"VELASQUEZ, R. JAY",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00420950/?cycle=2022,C00420950,"PIONEER NATURAL RESOURCES USA, INC. FEDERAL POLITICAL ACTION COMMITTEE",Q,U,M,777 HIDDEN RIDGE,,IRVING,TX,75038,"OWENS, THADDEUS J.",,2022,21374.19,0,0,21374.19
https://www.fec.gov/data/committee/C00422501/?cycle=2022,C00422501,CSL EMPLOYEES POLITICAL ACTION COMMITTEE,Q,B,M,1020 FIRST AVENUE,,KING OF PRUSSIA,PA,194060901,"COLLINS, PATRICK",,2022,16606.6,0,0,16606.6
https://www.fec.gov/data/committee/C00425439/?cycle=2022,C00425439,THOROUGHBRED PAC,Q,B,M,"1634 I STREET, NW",SUITE 1200,WASHINGTON,DC,20006,"WHITFIELD, ED",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00207993/?cycle=2022,C00207993,FRIENDS OF JIM INHOFE,S,P,Q,PO BOX 13300,,OKLAHOMA CITY,OK,73113,"KOCH, TIMOTHY A.",,2022,3197.5,0,3500,6697.5
https://www.fec.gov/data/committee/C00427856/?cycle=2022,C00427856,SANTA BARBARA COUNTY DEMOCRATIC CENTRAL COMMITTEE FEDERAL PAC,X,U,M,5445 MADISON AVENUE,,SACRAMENTO,CA,95841,"BOSS, LUCILLE",,2022,73690,0,1100,74790
https://www.fec.gov/data/committee/C00217984/?cycle=2022,C00217984,LAWYERS FOR BETTER GOVERNMENT - FEDERAL,Q,B,Q,353 NORTH CLARK STREET,SUITE 3500,CHICAGO,IL,60654,"IPPOLITO, MARY A.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00428052/?cycle=2022,C00428052,MAJORITY COMMITTEE PAC--MC PAC,Q,D,M,PO BOX 10134,,BAKERSFIELD,CA,933890134,"THOMSON, JILL",,2022,10000,0,5000,15000
https://www.fec.gov/data/committee/C00099259/?cycle=2022,C00099259,REPUBLICAN PARTY OF FLORIDA,Y,U,Q,420 E. JEFFERSON STREET,,TALLAHASSEE,FL,32301,"MOBERLEY, MIKE",,2022,30314.56,0,0,30314.56
https://www.fec.gov/data/committee/C00428557/?cycle=2022,C00428557,COLOROFCHANGE PAC,V,U,M,1714 FRANKLIN ST.,#100-136,OAKLAND,CA,94612,"DEANS, GILBERT JR.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00118430/?cycle=2022,C00118430,AMERICAN ORTHOTIC & PROSTHETIC ASSOCIATION PAC,Q,B,Q,330 JOHN CARLYLE ST. SUITE 200,,ALEXANDRIA,VA,22314,"LEE, EVE",,2022,510,0,0,510
https://www.fec.gov/data/committee/C00662130/?cycle=2022,C00662130,SOL FLORES FOR CONGRESS,H,P,T,2020 N CALIFORNIA AVE,SUITE 7-182,CHICAGO,IL,60647,"MAY, JENNIFER",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00700963/?cycle=2022,C00700963,WINTER FOR MONTANA,H,P,T,P.O. BOX 8248,,MISSOULA,MT,59807,"BESSETTE, BARBARA",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00118828/?cycle=2022,C00118828,BOILERMAKERS LOCAL 85 FEDERAL POLITICAL ACTION COMMITTEE,Q,U,Q,"319 GLENWOOD ROAD, PO BOX 35",,ROSSFORD,OH,43460,TIMOTHY TIMMONS,,2022,,,,0
https://www.fec.gov/data/committee/C00428623/?cycle=2022,C00428623,GOOGLE LLC NETPAC,Q,B,M,25 MASSACHUSETTS AVE. NW,9TH FLOOR,WASHINGTON,DC,20001,"SHELTON, JOHANNA",,2022,330516.34,0,0,330516.34
https://www.fec.gov/data/committee/C00244400/?cycle=2022,C00244400,LIVESTOCK MARKETING ASSOCIATION POLITICAL ACTION COMMITTEE (LMA-PAC),Q,B,Q,11501 OUTLOOK ST,#250,OVERLAND PARK,KS,66211,"GOOD, CHELSEA KAY",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00428979/?cycle=2022,C00428979,"JJF MANAGEMENT SERVICES INC. POLITICAL ACTION COMMITTEE, AKA FITZWAY FEDERAL PAC",N,U,M,11411 ROCKVILLE PIKE,,ROCKVILLE,MD,20895,"JERNIGAN, ROSE",,2022,1578.7,0,0,1578.7
https://www.fec.gov/data/committee/C00429662/?cycle=2022,C00429662,ENBRIDGE (U.S.) INC. POLITICAL ACTION COMMITTEE (ENBRIDGE-DCP PAC),Q,B,M,5400 WESTHEIMER COURT,,HOUSTON,TX,77056,"TALWAR, RITU K",,2022,52923.78,0,0,52923.78
https://www.fec.gov/data/committee/C00714204/?cycle=2022,C00714204,JASON ROBERGE FOR CONGRESS,H,P,T,7420 BROCK RD,P.O. BOX #2031,SPOTSYLVANIA,VA,22553,"ROBERGE, JASON",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00710178/?cycle=2022,C00710178,HONORING AMERICAN LAW ENFORCEMENT PAC (AKA HALE PAC),O,U,Q,1300 PENNSYLVANIA AVE. NW 190 730,,WASHINGTON,DC,20004,"STITT, BOB",,2022,552676.8,0,0,552676.8
https://www.fec.gov/data/committee/C00710848/?cycle=2022,C00710848,DMFI PAC,W,U,Q,"1023 31ST STREET, NW",SUITE 530,WASHINGTON,DC,20007,"MELLMAN, MARK",,2022,9983.4,0,0,9983.4
https://www.fec.gov/data/committee/C00763250/?cycle=2022,C00763250,KEAN FOR CONGRESS RECOUNT FUND,H,A,T,PO BOX 999,,EDISON,NJ,8818,"GRAVINO, RONALD",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00763847/?cycle=2022,C00763847,NATIONAL RENTAL HOME COUNCIL POLITICAL ACTION COMMITTEE,N,B,Q,PO BOX 9660,,WASHINGTON,DC,20016,"WALSH, TOM",,2022,5000,0,0,5000
https://www.fec.gov/data/committee/C00764522/?cycle=2022,C00764522,GUN OWNERS ACTION FUND,O,U,Q,610 S. BOULEVARD,,TAMPA,FL,33606,"WATKINS, NANCY H.",,2022,110000,0,0,110000
https://www.fec.gov/data/committee/C00727008/?cycle=2022,C00727008,REBELLION PAC,V,U,Q,247 NEEDHAM STREET,,DEDHAM,MA,2026,"UYGUR, CENK",,2022,23738.79,0,0,23738.79
https://www.fec.gov/data/committee/C00730952/?cycle=2022,C00730952,FOXX FOR NORTH CAROLINA,H,P,T,PO BOX 7053,,GREENSBORO,NC,27417,"HINTON, JASON",,2022,250,0,0,250
https://www.fec.gov/data/committee/C00735100/?cycle=2022,C00735100,E PLURIBUS UNUM PAC,O,U,Q,777 S FIGUEROA ST SUITE 4050,,LOS ANGELES,CA,90017,"BALDWIN, RONALD",,2022,325,0,0,325
https://www.fec.gov/data/committee/C00754671/?cycle=2022,C00754671,UNITED WE DREAM ACTION PAC,O,U,Q,P. O. BOX 33231,,WASHINGTON,DC,20033,"BOSWELL, KATHERINE",,2022,1697,0,0,1697
https://www.fec.gov/data/committee/C00755629/?cycle=2022,C00755629,STOP SOCIALISM NOW PAC,O,U,Q,1185 HIGHTOWER TRAIL,NUM 501029,ATLANTA,GA,30350,"BOLES, JASON D",,2022,10571,0,1545,12116
https://www.fec.gov/data/committee/C00756528/?cycle=2022,C00756528,MOORE COUNTY REPUBLICAN MENS CLUB - FEDERAL PAC,N,U,Q,PO BOX 97275,,RALEIGH,NC,27624,"MCMICHAEL, COLLIN",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00406041/?cycle=2022,C00406041,ARLINGTON COUNTY DEMOCRATIC COMMITTEE JOINT FEDERAL CAMPAIGN,X,U,M,P.O. BOX 7132,,ARLINGTON,VA,22207,"MALIS, INTA",,2022,38142.82,0,1050,39192.82
https://www.fec.gov/data/committee/C00406447/?cycle=2022,C00406447,LOUDOUN COUNTY DEMOCRATIC COMMITTEE,Y,U,M,P.O. BOX 544,,LEESBURG,VA,201780544,"SRINIVASAN, KANNAN",,2022,2514,0,0,2514
https://www.fec.gov/data/committee/C00406553/?cycle=2022,C00406553,PROGRESSIVE VOTERS OF AMERICA,Q,D,M,PO BOX 852,,BURLINGTON,VT,5402,"HAGGARD, LORA",,2022,2357,0,0,2357
https://www.fec.gov/data/committee/C00408500/?cycle=2022,C00408500,TELAPEX INC PAC,N,U,M,1018 HIGHLAND COLONY PARKWAY,STE 330,RIDGELAND,MS,39157,BENJAMIN C. PACE,,2022,40000,0,0,40000
https://www.fec.gov/data/committee/C00409359/?cycle=2022,C00409359,SAN MATEO COUNTY DEMOCRATIC CENTRAL COMMITTEE-FEDERAL,Y,U,M,"7909 WALERGA RD., STE. 112, # 1121",,ANTELOPE,CA,95843,"JOHNSON, CHELSEA",,2022,1085,0,0,1085
https://www.fec.gov/data/committee/C00409565/?cycle=2022,C00409565,NATIONAL OCEAN INDUSTRIES ASSOCIATION (NOIA) POLITICAL ACTION COMMITTEE,Q,B,M,1120 G STREET NW,SUITE 900,WASHINGTON,DC,20005,"BROWN, CATHERINE",,2022,10000,0,0,10000
https://www.fec.gov/data/committee/C00409730/?cycle=2022,C00409730,NEW DEMOCRAT COALITION ACTION FUND,Q,U,M,233 PENNSYLVANIA AVE SE,2ND FLOOR,WASHINGTON,DC,20003,"MILBY, HELEN",,2022,59067.79,0,650000,709067.79
https://www.fec.gov/data/committee/C00392928/?cycle=2022,C00392928,SAN FRANCISCO DEMOCRATIC COUNTY CENTRAL COMMITTEE,Y,U,Q,PO BOX 210119,,SAN FRANCISCO,CA,94121,"MORALES, CAROLINA",,2022,1029,0,0,1029
https://www.fec.gov/data/committee/C00400135/?cycle=2022,C00400135,"UNITED HEALTH SERVICES PAC, INC.",Q,U,Q,1626 JEURGENS COURT,,NORCROSS,GA,30093,"STEPHENS, SARA RALSTON",,2022,7912.58,0,0,7912.58
https://www.fec.gov/data/committee/C00436097/?cycle=2022,C00436097,SUNRISE MEDICAL (US) LLC POLITICAL ACTION COMMITTEE,N,U,A,6899 WINCHESTER CIRCLE SUITE 200,ATTN JOHN CARTER,BOULDER,CO,80301,DUSTIN HENRY,,2022,140,,,
https://www.fec.gov/data/committee/C00448779/?cycle=2022,C00448779,ADVANCED CONCEPTS AND TECHNOLOGIES INTERNATIONAL LLC POLITICAL ACTION COMMITTEE,N,U,T,1105 WOODED ACRES SUITE 500,,WACO,TX,76710,REBECCA M KHOURY,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00494583/?cycle=2022,C00494583,TED YOHO FOR CONGRESS,H,P,T,"5745 SW 75TH STREET, #283",,GAINESVILLE,FL,32608,"JACKSON, LAURA",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00512202/?cycle=2022,C00512202,PAUL COOK FOR CONGRESS,H,P,T,PO BOX 2131,,APPLE VALLEY,CA,92307,"WALLER, PHIL MR.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00429001/?cycle=2022,C00429001,"PURPOSE FINANCIAL, INC. PAC",Q,B,Q,135 N. CHURCH STREET,,SPARTANBURG,SC,29306,"RUSTIN, JESSICA",,2022,2403.18,0,0,2403.18
https://www.fec.gov/data/committee/C00429464/?cycle=2022,C00429464,REDWOOD COAST DEMOCRATS,Q,U,Q,5445 MADISON AVENUE,,SACRAMENTO,CA,95841,"LEWIS, DENISE",,2022,50,0,0,50
https://www.fec.gov/data/committee/C00758011/?cycle=2022,C00758011,VOTAR ES PODER PAC,O,U,Q,5449 S SEMORAN BLVD,SUITE 221,ORLANDO,FL,32822,"GARCES, ESTEBAN",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00759597/?cycle=2022,C00759597,WORKING PEOPLE RISING,O,U,Q,1891 WHITNEY MESA DR.,,HENDERSON,NV,89104,"KING, CRYSTAL",,2022,36224.61,0,0,36224.61
https://www.fec.gov/data/committee/C00760454/?cycle=2022,C00760454,FPC AMERICAN VICTORY FUND,O,U,Q,"1215 K STREET, 17TH FLOOR",,SACRAMENTO,CA,95814,"COMBS, BRANDON",,2022,10365.76,0,0,10365.76
https://www.fec.gov/data/committee/C00761049/?cycle=2022,C00761049,BLUE RIDGE BRIDGE BUILDER FUND,N,U,Q,"312 CLAY STREET, SUITE 300",,OAKLAND,CA,94607,"OWENS, STACY",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00757716/?cycle=2022,C00757716,INDIANA FOR A DEMOCRAT PRESIDENT,N,U,T,"501 W. BROADWAY, STE.1490",,SAN DIEGO,CA,92101,"RITTER, DWIGHT MR.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00547588/?cycle=2022,C00547588,VOTE IN WOMEN,N,U,Q,331 AMESBURY LINE ROAD,,HAVERHILL,MA,18301805,ROBERT JUSTIN CLOSE,,2022,0,,,0
https://www.fec.gov/data/committee/C00553206/?cycle=2022,C00553206,COMMITTEE TO ELECT MICHAEL BICKELMEYER,P,P,Q,399 PEARL ROAD,,BRUNSWICK,OH,44212,MICHAEL BICKELMEYER,,2022,,,,337.86
https://www.fec.gov/data/committee/C00565523/?cycle=2022,C00565523,JOHN WEBB FOR CONGRESS,H,P,Q,23906 S STATE RTE D,,CLEVELAND,MO,64734,TRICIA ADAMS,,2022,,,,
https://www.fec.gov/data/committee/C00585885/?cycle=2022,C00585885,COVESTROPAC A POLITICAL ACTION COMMITTEE OF COVESTRO LLC,Q,B,Q,1 COVESTRO CIRCLE,,PITTSBURGH,PA,15205,"LEMMEX, JOHN",,2022,12954.18,0,0,12954.18
https://www.fec.gov/data/committee/C00704445/?cycle=2022,C00704445,"IRAQ AND AFGHANISTAN VETERANS OF AMERICA ACTION FUND, INC. PAC",N,U,T,85 BROAD STREET,16TH FLOOR,NEW YORK,NY,10004,"ULLMAN, SEAN",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00466466/?cycle=2022,C00466466,AMERICAN VICTORY FUND COMMITTEE (AVF),N,J,T,"22780 INDIAN CREEK DRIVE, STE 100",,DULLES,VA,20166,"GRUTERS, JOSEPH R.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00777433/?cycle=2022,C00777433,VISIONA PAC,O,U,Q,19 CAMBRIAN RIDGE,,PETAL,MS,39465,"WILSON, EMILY",,2022,496,0,0,496
https://www.fec.gov/data/committee/C00713537/?cycle=2022,C00713537,FRIENDS OF JOHN EMMONS,H,P,T,C/O RED CURVE SOLUTIONS,"138 CONANT STREET, 2ND FLOOR",BEVERLY,MA,1915,"CRATE, BRADLEY T MR.",,2022,-3.2,0,0,-3.2
https://www.fec.gov/data/committee/C00724609/?cycle=2022,C00724609,LAVERNE GORE FOR CONGRESS,H,P,Q,PO BOX 22649,,BEACHWOOD ,OH,44122,LAVERNE GORE,H0OH11098,2022,0,0,0,0
https://www.fec.gov/data/committee/C00729640/?cycle=2022,C00729640,DR HECTOR CASTILLO FOR CONGRESS,H,P,T,P O BOX 363 / 14-45 RIVER RD,,FAIR LAWN,NJ,7410,"HUERTAS, GUILLERMO",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00731752/?cycle=2022,C00731752,2020 FOURTH DISTRICT VICTORY FUND,N,J,T,825 N 300 W,STE #C400,SALT LAKE CITY,UT,84103,"SRIVASTAVA, SHEILA",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00742395/?cycle=2022,C00742395,MEG FOR CONGRESS,H,P,Q,115 NOLL STREET,,CHATTANOOGA,TN,37405,"GORMAN, TIMOTHY",H2TN03219,2022,0,0,0,0
https://www.fec.gov/data/committee/C00761635/?cycle=2022,C00761635,CZECH-AMERICAN VOTER OUTREACH,N,U,Q,44 N. VAIL AVE,703,ARLINGTON HTS.,IL,60005,"DROST, GEORGE THOMAS MR.",,2022,0,0,0,1500
https://www.fec.gov/data/committee/C00489856/?cycle=2022,C00489856,ESAFUND,O,U,Q,610 S. BOULEVARD,,TAMPA,FL,33606,"WATKINS, NANCY H.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00491050/?cycle=2022,C00491050,DAVIS DEMOCRATIC CLUB,Q,U,Q,5445 MADISON AVENUE,,SACRAMENTO,CA,95841,"LEWIS, DENISE",,2022,3051,0,0,3051
https://www.fec.gov/data/committee/C00523621/?cycle=2022,C00523621,UNITED WE CAN,O,U,Q,"1800 MASSACHUSETTS AVE., NW",,WASHINGTON,DC,20036,"HUDSON, GERALD",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00744920/?cycle=2022,C00744920,FAMILY FRIENDLY ACTION PAC,O,U,Q,"700 13TH STREET, NW",SUITE 800,WASHINGTON,DC,20005,"THIBAULT, LAURA",,2022,300000,0,0,300000
https://www.fec.gov/data/committee/C00746495/?cycle=2022,C00746495,LATINO LEADERSHIP COUNCIL,N,U,T,71 SOUTH WACKER,,CHICAGO,IL,60606,"GUZMAN, NICOLAS MR",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00749101/?cycle=2022,C00749101,LATE BREAKERS PAC,O,U,Q,PO BOX 15320,,WASHINGTON,DC,20003,"MAY, JENNIFER",,2022,45455.59,0,0,45455.59
https://www.fec.gov/data/committee/C00341321/?cycle=2022,C00341321,ROBINSON & COLE FEDERAL POLITICAL ACTION COMMITTEE,Q,U,Q,280 TRUMBULL STREET,,HARTFORD,CT,6103,GLENN A. SANTORO,,2022,0,0,0,0
https://www.fec.gov/data/committee/C00383869/?cycle=2022,C00383869,PRESERVING AMERICA'S TRADITIONS (PATPAC),Q,D,T,610 S. BOULEVARD,,TAMPA,FL,33606,"WATKINS, NANCY H.",,2022,0,0,0,0
https://www.fec.gov/data/committee/C00414243/?cycle=2022,C00414243,FULTON FINANCIAL CORPORATION PAC (MD),N,U,Q,83 W WASHINGTON STREET,PO BOX 189,HAGERSTOWN,MD,21741,KARL J SICHELSTIEL,,2022,270,,,270
