Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
FRANKLIN D LOCKE,2,New York,A,3.0,JD,Law,Hamilton College,1864,,,,,Buffalo,New York,Partner,"Rogers, Locke & Babcock",Banking,W,M,1844,70,,,,,,,,1914,1917,,FRANKLIN,D,LOCKE,,,D
HENRY R TOWNE,2,New York,B,1.0,,,,,,,,,New York,New York,President,Morris Plan Company,Financial Services (non-banking),W,M,1844,70,,,,,,,,1914,1918,,HENRY,R,TOWNE,,,R
WILLIAM B THOMPSON,2,New York,B,2.0,Bachelor's,,Columbia University,,,,,,Yonkers,New York,Founder,Newmont Mining Corporation,"Energy, Mining, & Extraction",W,M,1869,45,,,,,,,,1914,1919,,WILLIAM,B,THOMPSON,,,B
LESLIE R PALMER,2,New York,B,3.0,,,,,,,,,Croton on Hudson,New York,President,First National Bank & Trust Company of Yonkers,Banking,W,M,1877,37,,,,,,,,1914,1920,,LESLIE,R,PALMER,,,R
GEORGE FOSTER PEABODY,2,New York,C,,,,,,,,,,Saratoga Springs,New York,Partner,Spencer Trask & Company,Information Technology,W,M,1852,62,,,,,,,,1914,1914,,GEORGE,FOSTER,PEABODY,,,F
PIERRE JAY,2,New York,C Chair,,Bachelor's,,Yale University,1892,,,,,New York,New York,Bank Commissioner,Commonwealth of Massachusetts,Consumer/Community,W,M,1870,44,,,,,,,,1914,1925,,PIERRE,,JAY,,,
CHARLES STAREK,2,New York,C Dep. Chair,,,,,,,,,,New York,New York,National Bank Examiner,Office of the Comptroller of the Currency,Financial Services (non-banking),W,M,,,,,,,,,,1914,1914,,CHARLES,,STAREK,,,
WILLIAM H PECK,3,Philadelphia,A,2.0,,,,,,,,,Scranton,Pennsylvania,President,Third National Bank of Scranton,Banking,W,M,1852,62,,,,,,,,1914,1917,,WILLIAM,H,PECK,,,H
M J MURPHY,3,Philadelphia,A,3.0,,,,,,,,,Clarks Green,Pennsylvania,Banker,"A. B. Leach & Co., Bankers",Banking,W,M,,,,,,,,,,1914,1921,,M,J,MURPHY,,,J
ALBA B JOHNSON,3,Philadelphia,B,1.0,,,,,,,,,Rosemont,Pennsylvania,President,Baldwin Locomotive Works,Manufacturing,W,M,1858,56,,,,,,,,1914,1926,,ALBA,B,JOHNSON,,,B
EDWIN S STUART,3,Philadelphia,B,2.0,,,,,,,,,Philadelphia,Pennsylvania,Merchant,,Wholesale & Retail Trade,W,M,1853,61,,,,,,,,1914,1925,,EDWIN,S,STUART,,,S
GEORGE W F GAUNT,3,Philadelphia,B,3.0,,,,,,,,,Mullica Hill,New Jersey,Master,State Grange of New Jersey,Nonprofit/Business Groups,W,M,1865,49,,,,,,,,1914,1917,,GEORGE,W F,GAUNT,,,W
RICHARD L AUSTIN,3,Philadelphia,C Chair,,,,,,,,,,Philadelphia,Pennsylvania,President,Girard National Bank of Philadelphia,Banking,W,M,1859,55,,,,,,,,1914,1938,,RICHARD,L,AUSTIN,,,L
GEORGE M LAMONTE,3,Philadelphia,C Dep. Chair,,Bachelor's,,Wesleyan University,1884,,,,,Bound Brook,New Jersey,President,George La Monte & Son,Manufacturing,W,M,1863,51,,,,,,,,1914,1914,,GEORGE,M,LAMONTE,,,M
ROBERT WARDROP,4,Cleveland,A,1.0,Bachelor's,,Western University,,,,,,Pittsburgh,Pennsylvania,Chairman,First National Bank of Pittsburgh,Banking,W,M,1850,64,,,,,,,,1914,1936,,ROBERT,,WARDROP,,,
WILLIAM S ROWE,4,Cleveland,A,2.0,,,,,,,,,Cincinnati,Ohio,President,First National Bank of Cincinnati,Banking,W,M,1857,57,,,,,,,,1914,1918,,WILLIAM,S,ROWE,,,S
STACY B RANKIN,4,Cleveland,A,3.0,,,,,,,,,South Charleston,Ohio,President,Bank of South Charleston,Banking,W,M,1855,59,,,,,,,,1914,1917,,STACY,B,RANKIN,,,B
THOMAS A COMBS,4,Cleveland,B,1.0,,,,,,,,,Lexington,Kentucky,President,Combs Lumber Company,"Energy, Mining, & Extraction",W,M,1868,46,,,,,,,,1914,1922,,THOMAS,A,COMBS,,,A
CLIFFORD H BAGLEY,4,Cleveland,B,2.0,,,,,,,,,Corry,Pennsylvania,President,Ajax Iron Works,Manufacturing,W,M,1844,70,,,,,,,,1914,1915,,CLIFFORD,H,BAGLEY,,,H
AB PATRICK,4,Cleveland,B,3.0,,,,,,,,,Salyersville,Kentucky,Oil Producer,,"Energy, Mining, & Extraction",W,M,,,,,,,,,,1914,1914,AB,,,PATRICK,,,
HARRY P WOLFE,4,Cleveland,C,,,,,,,,,,Columbus,Ohio,Owner,Ohio State Journal and Columbus Dispatch,Publishing,W,M,1872,42,,,,,,,,1914,1920,,HARRY,P,WOLFE,,,P
LYMAN H TREADWAY,4,Cleveland,C Dep. Chair,,,,,,,,,,Cleveland,Ohio,Executive,Gas Co.,Utilities,W,M,1862,52,,,,,,,,1914,1918,,LYMAN,H,TREADWAY,,,H
WALDO NEWCOMER,5,Richmond,A,1.0,Bachelor's,,Johns Hopkins University,1889,,,,,Baltimore,Maryland,President,National Exchange Bank of Baltimore,Banking,W,M,1867,47,,,,,,,,1914,1914,,WALDO,,NEWCOMER,,,
JOHN F BRUTON,5,Richmond,A,2.0,,,,,,,,,Wilson,North Carolina,President,First National Bank of Wilson,Banking,W,M,1861,53,,,,,,,,1914,1924,,JOHN,F,BRUTON,,,F
EDWIN MANN,5,Richmond,A,3.0,,,,,,,,,Bluefield,West Virginia,President,First National Bank of Bluefield,Banking,W,M,1866,48,,,,,,,,1914,1919,,EDWIN,,MANN,,,
DAVID R COKER,5,Richmond,B,2.0,Bachelor's,,University of South Carolina,1891,,,,,Hartsville,South Carolina,Merchant & Planter,Coker’s Pedigreed Seed Company,Agriculture & Food Processing,W,M,1870,44,,,,,,,,1914,1933,,DAVID,R,COKER,,,R
JAMES F OYSTER,5,Richmond,B,3.0,,,,,,,,,Washington,D.C.,Merchant,Corner Store,Wholesale & Retail Trade,W,M,1851,63,,,,,,,,1914,1920,,JAMES,F,OYSTER,,,F
MINOR FAIRFAX HEISKELL GOUVERNEUR,5,Richmond,C,,,,,,,,,,Wilmington,North Carolina,Partner,Hugh MacRae & Co.,Real Estate & Construction,W,M,1869,45,,,,,,,,1914,1916,,MINOR,FAIRFAX HEISKELL,GOUVERNEUR,,,F
WILLIAM INGLE,5,Richmond,C Chair,,,,,,,,,,Baltimore,Maryland,President,Baltimore Trust Company,Banking,W,M,1858,56,,,,,,,,1914,1915,,WILLIAM,,INGLE,,,
JAMES ASHBY MONCURE,5,Richmond,C Dep. Chair,,Bachelor's,,Old Fredricksburg College,,,,,,Richmond,Virginia,Secretary & Treasurer,Richmond Guano Co.,Engineering,W,M,1861,53,,,,,,,,1914,1921,,JAMES,ASHBY,MONCURE,,,A
LLEWELLYN P HILLYER,6,Atlanta,A,1.0,,,,,,,,,Macon,Georgia,Vice President,American National Bank of Macon,Banking,W,M,1862,52,,,,,,,,1914,1917,,LLEWELLYN,P,HILLYER,,,P
FRANCIS W FOOTE,6,Atlanta,A,2.0,,,,,,,,,Hattiesburg,Mississippi,Vice President,National Bank of Commerce of Hattiesburg,Banking,W,M,1875,39,,,,,,,,1914,1918,,FRANCIS,W,FOOTE,,,W
WARREN H TOOLE,6,Atlanta,A,3.0,,,,,,,,,Winder,Georgia,Cashier,Bank of Winder,Banking,W,M,1874,40,,,,,,,,1914,1916,,WARREN,H,TOOLE,,,H
PAUL H SAUNDERS,6,Atlanta,B,1.0,PhD,,University of Chicago,1894,,,,,New Orleans,Louisiana,President,Commercial Bank and Trust Company of Laurel,Banking,W,M,1871,43,,,,,,,,1914,1916,,PAUL,H,SAUNDERS,,,H
JOHN A MCCRARY,6,Atlanta,B,2.0,,,,,,,,,Decatur,Georgia,Vice President & Treasurer,"J.B. McCrary Company, Inc.",Real Estate & Construction,W,M,1871,43,,,,,,,,1914,1952,,JOHN,A,MCCRARY,,,A
WILLIAM H HARTFORD,6,Atlanta,B,3.0,,,,,,,,,Nashville,Tennessee,Founder,Hartford Hosiery Mills,Manufacturing,W,M,1861,53,,,,,,,,1914,1926,,WILLIAM,H,HARTFORD,,,H
WILLIAM H KETTIG,6,Atlanta,C,,,,,,,,,,Birmingham,Alabama,Manager,Chicago’s Crane Company,Manufacturing,W,M,1863,51,,,,,,,,1914,1920,,WILLIAM,H,KETTIG,,,H
EDWARD T BROWN,6,Atlanta,C Dep. Chair,,,,,,,,,,Atlanta,Georgia,Attorney,,Law,W,M,1859,55,,,,,,,,1914,1920,,EDWARD,T,BROWN,,,T
GEORGE M REYNOLDS,7,Chicago,A,1.0,,,,,,,,,Chicago,Illinois,Chairman of the Board,Continental and Commercial National Bank of Chicago,Banking,W,M,1865,49,,,,,,,,1914,1932,,GEORGE,M,REYNOLDS,,,M
JAMES B FORGAN,7,Chicago,A,2.0,Bachelor's,,Madras College,,,,,,Chicago,Illinois,President,First National Bank of Chicago,Banking,W,M,1853,61,,,,,,,,1914,1918,,JAMES,B,FORGAN,,,B
ELBERT L JOHNSON,7,Chicago,A,3.0,Bachelor's,,University of Michigan,1884,,,,,Waterloo,Iowa,President,First National Bank of Waverly,Banking,W,M,1863,51,,,,,,,,1914,1929,,ELBERT,L,JOHNSON,,,L
HENRY B JOY,7,Chicago,B,1.0,,,,,,,,,Detroit,Michigan,President,Packard Motor Car Co.,Manufacturing,W,M,1864,50,,,,,,,,1914,1915,,HENRY,B,JOY,,,B
MARTIN B HUTCHISON,7,Chicago,B,2.0,,,,,,,,,Ottumwa,Iowa,Cashier,First National Bank of Ottumwa,Banking,W,M,1861,53,,,,,,,,1914,1917,,MARTIN,B,HUTCHISON,,,B
AUGUST H VOGEL,7,Chicago,B,3.0,Bachelor's,,Harvard University,,,,,,Milwaukee,Wisconsin,Vice President,Pfister & Vogel Leather Co.,Manufacturing,W,M,1863,51,,,,,,,,1914,1929,,AUGUST,H,VOGEL,,,H
EDWIN THOMAS MEREDITH,7,Chicago,C,,Bachelor's,,Highland Park College,,,,,,Des Moines,Iowa,Publisher,Successful Farming,Agriculture & Food Processing,W,M,1877,37,,,,,,,,1914,1919,,EDWIN,THOMAS,MEREDITH,,,T
CHARLES HENRY BOSWORTH,7,Chicago,C Chair,,JD,Law,Cincinnati Law School,,,,,,Chicago,Illinois,President,People's Trust and Savings Bank of Chicago,Banking,W,M,1862,52,,,,,,,,1914,1915,,CHARLES,HENRY,BOSWORTH,,,H
WALTER F MCLALLEN,7,Chicago,C Dep. Chair,,,,,,,,,,Columbia City,Indiana,Secretary,Provident Trust Company of Columbia City,Banking,W,M,1868,46,,,,,,,,1914,1916,,WALTER,F,MCLALLEN,,,F
WALKER HILL,8,St. Louis,A,1.0,,,,,,,,,St. Louis,Missouri,President,Mechanics-American National Bank,Banking,W,M,1857,57,,,,,,,,1914,1919,,WALKER,,HILL,,,
FRANK O WATTS,8,St. Louis,A,2.0,,,,,,,,,St. Louis,Missouri,President,Third National Bank of St. Louis,Banking,W,M,1867,47,,,,,,,,1914,1917,,FRANK,O,WATTS,,,O
OSCAR FENLEY,8,St. Louis,A,3.0,,,,,,,,,Louisville,Kentucky,President,National Bank of Kentucky,Banking,W,M,1856,58,,,,,,,,1914,1915,,OSCAR,,FENLEY,,,
MURRAY CARLETON,8,St. Louis,B,1.0,,,,,,,,,St. Louis,Missouri,President,Ferguson-Carleton Dry Goods Company,Wholesale & Retail Trade,W,M,1852,62,,,,,,,,1914,1914,,MURRAY,,CARLETON,,,
WB PLUNKETT,8,St. Louis,B,2.0,,,,,,,,,Little Rock,Arkansas,President,Plunkett-Jewell Grocery Company,Wholesale & Retail Trade,W,M,1860,54,,,,,,,,1914,1937,,WB,,PLUNKETT,,,
LEROY PERCY,8,St. Louis,B,3.0,JD,Law,University of Virginia,1881,,,,,Greenville,Mississippi,Founding Partner,Dixon & Percy,Law,W,M,1860,54,,,,,,,,1914,1928,,LEROY,,PERCY,,,
JOHN W BOEHNE,8,St. Louis,C,,Bachelor's,,Evansville College,,,,,,Evansville,Indiana,President,Indiana Stove Works,Manufacturing,W,M,1857,57,,,,,,,,1914,1916,,JOHN,W,BOEHNE,,,W
WILLIAM MCCHESNEY MARTIN,8,St. Louis,C Chair,,Bachelor's,,Washington and Lee University,,,,,,St. Louis,Missouri,Associate Trust Officer,Mississippi Valley Trust Company,Banking,W,M,1874,40,,,,,,,,1914,1927,,WILLIAM,MCCHESNEY,MARTIN,,,M
WALTER W SMITH,8,St. Louis,C Dep. Chair,,,,,,,,,,St. Louis,Missouri,President,First National Bank of St. Louis,Banking,W,M,1877,37,,,,,,,,1914,1914,,WALTER,W,SMITH,,,W
EW DECKER,9,Minneapolis,A,1.0,,,,,,,,,Minneapolis,Minnesota,President,Northwestern National Bank of Minneapolis,Banking,W,M,1870,44,,,,,,,,1914,1918,,EW,,DECKER,,,
LB HANNA,9,Minneapolis,A,2.0,,,,,,,,,Fargo,North Dakota,Former Governor,North Dakota State Government,Banking,W,M,1861,53,,,,,,,,1914,1919,,LB,,HANNA,,,
JC BASSETT,9,Minneapolis,A,3.0,,,,,,,,,Aberdeen,South Dakota,President,Aberdeen National Bank,Banking,W,M,1865,49,,,,,,,,1914,1917,,JC,,BASSETT,,,
FREDERIC RUSSELL BIGELOW,9,Minneapolis,B,1.0,Bachelor's,,Williams College,1891,,,,,St. Paul,Minnesota,President,Saint Paul Fire and Marine Insurance Company,Insurance,W,M,1870,44,,,,,,,,1914,1924,,FREDERIC,RUSSELL,BIGELOW,,,R
FP HIXON,9,Minneapolis,B,2.0,,,,,,,,,La Crosse,Wisconsin,Founder,"Hixon & Co., Inc.","Energy, Mining, & Extraction",W,M,1863,51,,,,,,,,1914,1924,,FP,,HIXON,,,
NORMAN B HOLTER,9,Minneapolis,B,3.0,Bachelor's,,Columbia University,1891,,,,,Helena,Montana,Founder,Holter & Co. Hardware,Wholesale & Retail Trade,W,M,1869,45,,,,,,,,1914,1930,,NORMAN,B,HOLTER,,,B
JOHN W BLACK,9,Minneapolis,C,,,,,,,,,,Houghton,Michigan,Manager,M. Van Orden Coal Co.,"Energy, Mining, & Extraction",W,M,1874,40,,,,,,,,1914,1918,,JOHN,W,BLACK,,,W
JOHN H RICH,9,Minneapolis,C Chair,,,,,,,,,,Red Wing,Minnesota,President,Goodhue County National Bank of Red Wing,Banking,W,M,1856,58,,,,,,,,1914,1923,,JOHN,H,RICH,,,H
PM KERST,9,Minneapolis,C Dep. Chair,,,,,,,,,,St. Paul,Minnesota,Examiner,Minneapolis Clearing House Association,Financial Services (non-banking),W,M,1864,50,,,,,,,,1914,1914,,PM,,KERST,,,
GORDON JONES,10,Kansas City,A,1.0,,,,,,,,,Denver,Colorado,President,Central National Bank of Denver,Banking,W,M,1865,49,,,,,,,,1914,1914,,GORDON,,JONES,,,
CE BURNHAM,10,Kansas City,A,3.0,,,,,,,,,Norfolk,Nebraska,President,Elkhorn Valley Bank,Banking,W,M,1860,54,,,,,,,,1914,1919,,CE,,BURNHAM,,,
MEADE L MCCLURE,10,Kansas City,B,1.0,,,,,,,,,Kansas City,Missouri,Vice President,Drumm Commission Company,Financial Services (non-banking),W,M,1863,51,,,,,,,,1914,1922,,MEADE,L,MCCLURE,,,L
THOMS C BYRNE,10,Kansas City,B,2.0,,,,,,,,,Omaha,Nebraska,President,Byrne-Hammer Dry Goods company,Wholesale & Retail Trade,W,M,1860,54,,,,,,,,1914,1929,,THOMS,C,BYRNE,,,C
LA WILSON,10,Kansas City,B,3.0,,,,,,,,,El Reno,Oklahoma,President,First National Bank of El Reno,Banking,W,M,1881,33,,,,,,,,1914,1915,,LA,,WILSON,,,
RICHARD H MALONE,10,Kansas City,C,,,,,,,,,,Denver,Colorado,Partner,F.W. Crocker,Agriculture & Food Processing,W,M,1857,57,,,,,,,,1914,1920,,RICHARD,H,MALONE,,,H
ASA E RAMSEY,10,Kansas City,C Dep. Chair,,,,,,,,,,Muskogee,Oklahoma,Vice President,First National Bank of Muskogee,Banking,W,M,1870,44,,,,,,,,1914,1914,,ASA,E,RAMSEY,,,E
EK SMITH,11,Dallas,A,2.0,,,,,,,,,Shreveport,Louisiana,President,Commercial National Bank of Shreveport,Banking,W,M,1870,44,,,,,,,,1914,1919,,EK,,SMITH,,,
MARION SANSOM,11,Dallas,B,1.0,,,,,,,,,Fort Worth,Texas,President,Stockyards National Bank of Fort Worth,Banking,W,M,1853,61,,,,,,,,1914,1924,,MARION,,SANSOM,,,
FRANK KELL,11,Dallas,B,2.0,,,,,,,,,Wichita Falls,Texas,Owner,Wichita Mill and Elevator Company,Manufacturing,W,M,1859,55,,,,,,,,1914,1926,,FRANK,,KELL,,,
JJ CULBERTSON,11,Dallas,B,3.0,,,,,,,,,Paris,Texas,Vice President,South­land Cotton Oil Company of Texas,Agriculture & Food Processing,W,M,1853,61,,,,,,,,1914,1931,,JJ,,CULBERTSON,,,
FELIX MARTINEZ,11,Dallas,C,,Bachelor's,,St. Mary's College,,,,,,El Paso,Texas,President,Central Building and Improvement Company,Real Estate & Construction,W,M,1857,57,,,,,,,,1914,1915,,FELIX,,MARTINEZ,,,
EO TENISON,11,Dallas,C Chair,,,,,,,,,,Dallas,Texas,President,City National Bank of Dallas,Banking,W,M,1864,50,,,,,,,,1914,1914,,EO,,TENISON,,,
WALTER F MCCALEB,11,Dallas,C Dep. Chair,,PhD,History,University of Chicago,1900,,,,,San Antonio,Texas,President,West Texas Bank Trust Company,Banking,W,M,1873,41,,,,,,,,1914,1914,,WALTER,F,MCCALEB,,,F
CHARLES KENNETH MCINTOSH,12,San Francisco,A,1.0,,,,,,,,,San Francisco,California,President,"Bank of California, N.A.",Banking,W,M,1867,47,,,,,,,,1914,1946,,CHARLES,KENNETH,MCINTOSH,,,K
ALDEN ANDERSON,12,San Francisco,A,3.0,,,,,,,,,Sacramento,California,President,Capital National Bank of Sacramento,Banking,W,M,1867,47,,,,,,,,1914,1917,,ALDEN,,ANDERSON,,,
ABC DOHRMANN,12,San Francisco,B,1.0,,,,,,,,,San Francisco,California,Chairman of the Board,Dohrmann Commeical Company and Emporium Capwell Corporation,Wholesale & Retail Trade,W,M,1868,46,,,,,,,,1914,1935,,ABC,,DOHRMANN,,,
JA MCGREGOR,12,San Francisco,B,2.0,,,,,,,,,San Francisco,California,President,Union Iron Works,Manufacturing,W,M,,,,,,,,,,1914,1920,,JA,,MCGREGOR,,,
ELMER H COX,12,San Francisco,B,3.0,,,,,,,,,Madera,California,President,Madera Sugar Pine Company,"Energy, Mining, & Extraction",W,M,1861,53,,,,,,,,1914,1944,,ELMER,H,COX,,,H
CHARLES E PEABODY,12,San Francisco,C,,,,,,,,,,Seattle,Washington,Founder,Puget Sound Navigation Company,Transportation,W,M,1857,57,,,,,,,,1914,1914,,CHARLES,E,PEABODY,,,E
JOHN PERRIN,12,San Francisco,C Chair,,Bachelor's,,Yale University,1879,,,,,Pasadena,California,President,American National Bank of Indianapolis,Banking,W,M,1857,57,,,,,,,,1914,1915,,JOHN,,PERRIN,,,
CLAUDE GATCH,12,San Francisco,C Dep. Chair,,,,,,,,,,San Francisco,California,National Bank Examiner,Office of the Comptroller of the Currency,Consumer/Community,W,M,1859,55,,,,,,,,1914,1914,,CLAUDE,,GATCH,,,
DAVID C BIGGS,8,St. Louis,B,1.0,,,,,,,,,St. Louis,Missouri,Treasurer,International Shoe Company,Manufacturing,W,M,1866,49,"Governor, FRB St. Louis","Governor, FRB St. Louis",1919,1928,,,,1915,1918,,DAVID,C,BIGGS,,,C
GEORGE W NORRIS,3,Philadelphia,C Dep. Chair,,,,,,,,,,Philadelphia,Pennsylvania,"Director of Department of Wharves, Docks, and Ferries",City of Philadelphia,Transportation,W,M,1864,51,"Governor, FRB Philadelphia","Governor, FRB Philadelphia",1920,1936,"President, FRB Philadelphia",1920,1936,1915,1915,,GEORGE,W,NORRIS,,,W
CHARLES M SAWYER,10,Kansas City,C Chair,,,,,,,,,,Kansas City,Missouri,President,First National Bank of Norton,Banking,W,M,1866,49,"Governor, FRB Kansas City","Governor, FRB Kansas City",1914,1916,,,,1915,1917,,CHARLES,M,SAWYER,,,M
VANCE C MCCORMICK,3,Philadelphia,C,,Bachelor's,Engineering,Yale University,1893,,,,,Harrisburg,Pennsylvania,President,Patriot Company,Publishing,W,M,1872,43,,,,,,,,1915,1915,,VANCE,C,MCCORMICK,,,C
JOHN STAMBAUGH,4,Cleveland,B,3.0,,,,,,,,,Youngstown,Ohio,Treasurer,Brier Hill Steel Co.,Manufacturing,W,M,1862,53,,,,,,,,1915,1926,,JOHN,,STAMBAUGH,,,
HENRY B WILCOX,5,Richmond,A,1.0,,,,,,,,,Baltimore,Maryland,Vice President,Merchants-Mechanics First National Bank of Baltimore,Banking,W,M,1864,51,,,,,,,,1915,1917,,HENRY,B,WILCOX,,,B
EDMUND STRUDWICK,5,Richmond,B,1.0,,,,,,,,,Richmond,Virginia,President,Atlantic Life Insurance Co.,Insurance,W,M,1854,61,,,,,,,,1915,1927,,EDMUND,,STRUDWICK,,,
TULIUS C TUPPER,8,St. Louis,C Dep. Chair,,,,,,,,,,St. Louis,Missouri,President,Midwestern Fire & Marine Co.,Insurance,W,M,1879,36,,,,,,,,1915,1915,,TULIUS,C,TUPPER,,,C
WILLIAM HURLEY LIGHTNER,9,Minneapolis,C Dep. Chair,,JD,Law,University of Michigan,1877,,,,,St. Paul,Minnesota,Attorney,Young and Lightner,Law,W,M,1857,58,,,,,,,,1915,1920,,WILLIAM,HURLEY,LIGHTNER,,,H
