"Symbol
",Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,"Founded
"
"ALGN
",Align Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGN&action=getcompany,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,0001097149,"1997
"
"ALLE
",Allegion,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALLE&action=getcompany,Industrials,Building Products,"Dublin, Ireland",2013-12-02,"0001579241
","1908
"
"LNT
",Alliant Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LNT&action=getcompany,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,"0000352541
","1917
"
"ALL
",Allstate Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALL&action=getcompany,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,"0000899051
","1931
"
"GOOGL
",Alphabet (Class A),https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOGL&action=getcompany,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,"0001652044
","1998
"
"GOOG
",Alphabet (Class C),https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOG&action=getcompany,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,"0001652044
","1998
"
"MO
",Altria Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MO&action=getcompany,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,"1985
"
"AMZN
",Amazon,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMZN&action=getcompany,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,"0001018724
","1994
"
"AMCR
",Amcor,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMCR&action=getcompany,Materials,Paper Packaging,"Zurich, Switzerland",2019-06-07,0001748790,"2019 (1860)
"
"AEE
",Ameren Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEE&action=getcompany,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,"0001002910
","1902
"
"AAL
",American Airlines Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&action=getcompany,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,"0000006201
","1934
"
"AEP
",American Electric Power,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEP&action=getcompany,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,"1906
"
"AXP
",American Express,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AXP&action=getcompany,Financials,Consumer Finance,New York City,1976-06-30,"0000004962
","1850
"
"AIG
",American International Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIG&action=getcompany,Financials,Property & Casualty Insurance,New York City,1980-03-31,"0000005272
","1919
"
"AMT
",American Tower,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMT&action=getcompany,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,"0001053507
","1995
"
"AWK
",American Water Works,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AWK&action=getcompany,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,"0001410636
","1886
"
"AMP
",Ameriprise Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMP&action=getcompany,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,"0000820027
","1894
"
"ABC
",AmerisourceBergen,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&action=getcompany,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,"0001140859
","1985
"
"AME
",Ametek,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AME&action=getcompany,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,"0001037868
","1930
"
"AMGN
",Amgen,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMGN&action=getcompany,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,"0000318154
","1980
"
"APH
",Amphenol Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APH&action=getcompany,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,"0000820313
","1932
"
"ADI
",Analog Devices,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADI&action=getcompany,Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,"0000006281
","1965
"
"ANSS
",Ansys,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANSS&action=getcompany,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,"0001013462
","1969
"
"ANTM
",Anthem,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANTM&action=getcompany,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,"0001156039
","2014 (1946)
"
"AON
",Aon,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AON&action=getcompany,Financials,Insurance Brokers,"London, England",1996-04-23,"0000315293
","1982 (1919)
"
"AOS
",A. O. Smith,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AOS&action=getcompany,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,"0000091142
","1916
"
"APA
",APA Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APA&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,"0000006769
","1954
"
"AAPL
",Apple,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,"0000320193
","1977
"
"AMAT
",Applied Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAT&action=getcompany,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,"0000006951
","1967
"
"APTV
",Aptiv,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APTV&action=getcompany,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,"0001521332
","1994
"
"ADM
",ADM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADM&action=getcompany,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,"0000007084
","1902
"
"ANET
",Arista Networks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANET&action=getcompany,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,"2004
"
"AJG
",Arthur J. Gallagher & Co.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AJG&action=getcompany,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,"0000354190
","1927
"
"AIZ
",Assurant,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIZ&action=getcompany,Financials,Multi-line Insurance,New York City,2007-04-10,"0001267238
","1892
"
"T
",AT&T,https://www.sec.gov/cgi-bin/browse-edgar?CIK=T&action=getcompany,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),0000732717,"1983 (1885)
"
"ATO
",Atmos Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ATO&action=getcompany,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,0000731802,"1906
"
"ADSK
",Autodesk,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADSK&action=getcompany,Information Technology,Application Software,"San Rafael, California",1989-12-01,"0000769397
","1982
"
"ADP
",Automatic Data Processing,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADP&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,"0000008670
","1949
"
"AZO
",AutoZone,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AZO&action=getcompany,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,"0000866787
","1979
"
"AVB
",AvalonBay Communities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVB&action=getcompany,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,"0000915912
","1978
"
"AVY
",Avery Dennison,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVY&action=getcompany,Materials,Paper Packaging,"Glendale, California",1987-12-31,"0000008818
","1990
"
"BKR
",Baker Hughes,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BKR&action=getcompany,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017-07-07,0001701605,"2017
"
"BLL
",Ball Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BLL&action=getcompany,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,0000009389,"1880
"
"BAC
",Bank of America,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BAC&action=getcompany,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,"0000070858
","1998 (1923 / 1874)
"
"BK
",BNY Mellon,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BK&action=getcompany,Financials,Asset Management & Custody Banks,New York City,1995-03-31,0001390777,"1784
"
"BAX
",Baxter International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BAX&action=getcompany,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456,"1931
"
"BDX
",Becton Dickinson,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BDX&action=getcompany,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795,"1897
"
"BRK.B
",Berkshire Hathaway,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BRKB&action=getcompany,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,"0001067983
","1839
"
"BBY
",Best Buy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BBY&action=getcompany,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,"0000764478
","1966
"
"BIO
",Bio-Rad Laboratories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BIO&action=getcompany,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,"0000012208
","1952
"
"BIIB
",Biogen,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BIIB&action=getcompany,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,"0000875045
","1978
"
"BLK
",BlackRock,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BLK&action=getcompany,Financials,Asset Management & Custody Banks,New York City,2011-04-04,"0001364742
","1988
"
"BA
",Boeing Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BA&action=getcompany,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,0000012927,"1916
"
"BKNG
",Booking Holdings,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BKNG&action=getcompany,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,"0001075531
","1996
"
"BWA
",BorgWarner,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BWA&action=getcompany,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,"0000908255
","1880
"
"BXP
",Boston Properties,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BXP&action=getcompany,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,"0001037540
","1970
"
"BSX
",Boston Scientific,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BSX&action=getcompany,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,"0000885725
","1979
"
"BMY
",Bristol-Myers Squibb,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BMY&action=getcompany,Health Care,Health Care Distributors,New York City,1957-03-04,0000014272,"1989
"
"AVGO
",Broadcom,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AVGO&action=getcompany,Information Technology,Semiconductors,"San Jose, California",2014-05-08,0001730168,"1961
"
"BR
",Broadridge Financial Solutions,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BR&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,0001383312,"1962
"
"BF.B
",Brown–Forman,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BFB&action=getcompany,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0000014693,"1870
"
"CHRW
",C. H. Robinson,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CHRW&action=getcompany,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0001043277,"1905
"
"COG
",Cabot Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=COG&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470,"1989
"
"CDNS
",Cadence Design Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CDNS&action=getcompany,Information Technology,Application Software,"San Jose, California",2017-09-18,0000813672,"1988
"
"CZR
",Caesars Entertainment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CZR&action=getcompany,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,0001590895,"1973
"
"CPB
",Campbell Soup,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CPB&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,0000016732,"1869
"
"COF
",Capital One Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=COF&action=getcompany,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,0000927628,"1994
"
"CAH
",Cardinal Health,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAH&action=getcompany,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,0000721371,"1971
"
"KMX
",CarMax,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KMX&action=getcompany,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,0001170010,"1993
"
"CCL
",Carnival Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CCL&action=getcompany,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,0000815097,"1972
"
"CARR
",Carrier Global,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CARR&action=getcompany,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,"0001783180
","2020 (1915)
"
"CTLT
",Catalent,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTLT&action=getcompany,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,0001596783,"2007
"
"CAT
",Caterpillar,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAT&action=getcompany,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04,0000018230,"1925
"
"CBOE
",Cboe Global Markets,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CBOE&action=getcompany,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0001374310,"1973
"
"CBRE
",CBRE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CBRE&action=getcompany,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,0001138118,"1906
"
"CDW
",CDW,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CDW&action=getcompany,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,0001402057,"1984
"
"CE
",Celanese,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CE&action=getcompany,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,0001306830,"1918
"
"CNC
",Centene Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CNC&action=getcompany,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,0001071739,"1984
"
"CNP
",CenterPoint Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CNP&action=getcompany,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,0001130310,"1882
"
"CERN
",Cerner,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CERN&action=getcompany,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,0000804753,"1979
"
"CF
",CF Industries,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CF&action=getcompany,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,0001324404,"1946
"
"CRL
",Charles River Laboratories,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CRL&action=getcompany,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,0001100682,"1947
"
"SCHW
",Charles Schwab Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SCHW&action=getcompany,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,0000316709,"1971
"
"CHTR
",Charter Communications,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CHTR&action=getcompany,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,0001091667,"1993
"
"CVX
",Chevron Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVX&action=getcompany,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,0000093410,"1879
"
"CMG
",Chipotle Mexican Grill,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CMG&action=getcompany,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,0001058090,"1993
"
"CB
",Chubb,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CB&action=getcompany,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,0000896159,"1985
"
"CHD
",Church & Dwight,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CHD&action=getcompany,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,0000313927,"1847
"
"CI
",Cigna,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CI&action=getcompany,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,"0001739940
","1982
"
"CINF
",Cincinnati Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CINF&action=getcompany,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,0000020286,"1950
"
"CTAS
",Cintas Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTAS&action=getcompany,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,0000723254,"1929
"
"CSCO
",Cisco Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CSCO&action=getcompany,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,0000858877,"1984
"
"C
",Citigroup,https://www.sec.gov/cgi-bin/browse-edgar?CIK=C&action=getcompany,Financials,Diversified Banks,New York City,1988-05-31,0000831001,"1998
"
"CFG
",Citizens Financial Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CFG&action=getcompany,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,0000759944,"1828
"
"CTXS
",Citrix Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTXS&action=getcompany,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,0000877890,"1989
"
"CLX
",Clorox,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CLX&action=getcompany,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0000021076,"1913
"
"CME
",CME Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CME&action=getcompany,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0001156375,"1848
"
"CMS
",CMS Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CMS&action=getcompany,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,0000811156,"1886
"
"KO
",Coca-Cola Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KO&action=getcompany,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,0000021344,"1886
"
"CTSH
",Cognizant Technology Solutions,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTSH&action=getcompany,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290,"1994
"
"CL
",Colgate-Palmolive,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CL&action=getcompany,Consumer Staples,Household Products,New York City,1957-03-04,0000021665,"1806
"
"CMCSA
",Comcast,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CMCSA&action=getcompany,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0001166691,"1963
"
"CMA
",Comerica,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CMA&action=getcompany,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,0000028412,"1849
"
"CAG
",Conagra Brands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CAG&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,"0000023217
","1919
"
"COP
",ConocoPhillips,https://www.sec.gov/cgi-bin/browse-edgar?CIK=COP&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0001163165,"2002
"
"ED
",Consolidated Edison,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ED&action=getcompany,Utilities,Electric Utilities,New York City,,0001047862,"1823
"
"STZ
",Constellation Brands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=STZ&action=getcompany,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,0000016918,"1945
"
"COO
",The Cooper Companies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=COO&action=getcompany,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,0000711404,"1958
"
"CPRT
",Copart,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CPRT&action=getcompany,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,"1982
"
"GLW
",Corning,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GLW&action=getcompany,Information Technology,Electronic Components,"Corning, New York",,0000024741,"1851
"
"CTVA
",Corteva,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CTVA&action=getcompany,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,0001755672,"2019
"
"COST
",Costco,https://www.sec.gov/cgi-bin/browse-edgar?CIK=COST&action=getcompany,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832,"1976
"
"CCI
",Crown Castle,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CCI&action=getcompany,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470,"1994
"
"CSX
",CSX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CSX&action=getcompany,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948,"1980
"
"CMI
",Cummins,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CMI&action=getcompany,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172,"1919
"
"CVS
",CVS Health,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CVS&action=getcompany,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0000064803,"1996
"
"DHI
",D. R. Horton,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DHI&action=getcompany,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,0000882184,"1978
"
"DHR
",Danaher Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DHR&action=getcompany,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616,"1969
"
"DRI
",Darden Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DRI&action=getcompany,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944,"1938
"
"DVA
",DaVita,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DVA&action=getcompany,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,"1979
"
"DE
",Deere & Co.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DE&action=getcompany,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0000315189,"1837
"
"DAL
",Delta Air Lines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DAL&action=getcompany,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904,"1929
"
"XRAY
",Dentsply Sirona,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XRAY&action=getcompany,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,"0000818479
","2016 (1969)
"
"DVN
",Devon Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DVN&action=getcompany,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,"1971
"
